Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,E2E_Avg,E2E_P50,E2E_P90,E2E_P99,Exec_Avg,Exec_P50,Exec_P90,Exec_P99,TTFT_Avg,TTFT_P50,TTFT_P90,TTFT_P99,ITL_Avg,ITL_P50,ITL_P90,ITL_P99
meta-llama/Meta-Llama-3-8B,1,1,1,1.0,1.0,1.0,0.7840555566666666,0.6383840000000001,1.4575874,2.012130669999999,0.6714699366666667,0.5703995,1.288171,1.711172,0.37278598,0.3077845,0.7079399000000001,1.09873322,0.13708987,0.113238,0.2572595000000005,0.39494
meta-llama/Meta-Llama-3-8B,1,2,1,1.0,2.0,1.0,16.625136373333333,18.2515535,21.400363600000002,22.68433214,9.944115853333333,11.600875,11.600916,15.467855,10.25205663,11.0033465,16.7006164,18.13776122,2.1243599933333335,2.577976,2.57798,2.577984
meta-llama/Meta-Llama-3-8B,1,4,1,1.0,4.0,1.0,33.75215766,36.243874000000005,45.0087975,47.275555110000006,16.241904639999998,18.36043,18.360781,24.480589,23.4137941,24.0035795,40.824895399999996,42.41528193,3.446121103333333,4.080094,4.080165,4.080211
meta-llama/Meta-Llama-3-8B,1,8,1,1.0,8.0,1.0,39.92706137333333,42.515547999999995,53.7853961,55.983766110000005,18.46220123333333,20.796954,20.796961,27.729274,28.169435066666665,28.6509115,49.5490487,51.12349294,3.919208706666667,4.621545,4.621547,4.621548
meta-llama/Meta-Llama-3-8B,2,1,1,2.0,1.0,1.0,0.26038315666666667,0.245556,0.3813951000000001,0.5232203599999999,0.23634142666666663,0.24172,0.318786,0.50510574,0.13582894333333334,0.11698900000000001,0.1992877,0.27322491999999987,0.04151807666666667,0.035319500000000004,0.070844,0.09148366999999981
meta-llama/Meta-Llama-3-8B,2,2,1,2.0,2.0,1.0,1.19068248,1.1229710000000002,2.1983881000000003,2.5966278999999997,1.0348814566666666,0.998524,1.959017,2.283105,0.5467848399999999,0.48404899999999995,1.0705368,1.4490975599999996,0.21463254666666667,0.2219,0.4379399,0.542064
meta-llama/Meta-Llama-3-8B,2,4,1,2.0,4.0,1.0,12.69420358,13.420819999999999,19.0467815,20.998880229999997,10.62651435,12.02274,17.022602,17.217214,6.172841733333334,6.7135635,10.105912700000001,11.69195266,2.1737872766666664,2.278135,3.995627,3.997027
meta-llama/Meta-Llama-3-8B,4,1,1,4.0,1.0,1.0,0.18258738333333335,0.174538,0.1999304,0.2741024399999999,0.17989302000000004,0.174538,0.176739,0.247733,0.10691789666666665,0.104077,0.1124656,0.15336564999999983,0.025223173333333335,0.023487,0.023487,0.04717
meta-llama/Meta-Llama-3-8B,4,2,1,4.0,2.0,1.0,0.2660816833333334,0.221613,0.372616,0.5927021599999998,0.25780395666666667,0.221613,0.372616,0.5257582199999999,0.18285471,0.173133,0.19676120000000005,0.3118659699999997,0.02774235000000001,0.01616,0.066488,0.116822
meta-llama/Meta-Llama-3-8B,8,1,1,8.0,1.0,1.0,0.1748696166666667,0.174538,0.174538,0.174538,0.17478216000000002,0.174538,0.174538,0.174538,0.10417179333333332,0.104077,0.104077,0.104077,0.023565943333333336,0.023487,0.023487,0.023487
