Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,E2E_Avg,E2E_P50,E2E_P90,E2E_P99,Exec_Avg,Exec_P50,Exec_P90,Exec_P99,TTFT_Avg,TTFT_P50,TTFT_P90,TTFT_P99,ITL_Avg,ITL_P50,ITL_P90,ITL_P99
meta-llama/Meta-Llama-3-8B,1,1,1,1.0,1.0,1.0,0.0403691,0.034518,0.05116580000000001,0.08807295,0.03837441,0.034518,0.046337,0.06987367999999987,0.019696759999999997,0.016697,0.027210700000000008,0.04678245999999996,0.006890569999999999,0.00594,0.009213,0.013774639999999972
meta-llama/Meta-Llama-3-8B,1,2,1,1.0,2.0,1.0,0.031844016666666676,0.027822,0.0404786,0.05794700999999993,0.030618826666666668,0.027822,0.036927,0.05782581,0.015865486666666668,0.013977,0.021797100000000007,0.031789559999999994,0.00532617,0.004615,0.007649,0.010879
meta-llama/Meta-Llama-3-8B,1,4,1,1.0,4.0,1.0,0.03289530666666667,0.029675,0.0399035,0.05106368999999988,0.03155183666666667,0.029675,0.03503,0.045485,0.014112393333333336,0.012091,0.0210392,0.02802377999999998,0.0062607033333333326,0.005861,0.007644,0.01044603
meta-llama/Meta-Llama-3-8B,1,8,1,1.0,8.0,1.0,0.02976273,0.027151,0.035833300000000005,0.04709646999999998,0.028602923333333335,0.027151,0.031815,0.04333450999999998,0.012480950000000001,0.010788,0.018414399999999997,0.023699909999999994,0.00576034,0.005454,0.006986,0.00852812
meta-llama/Meta-Llama-3-8B,2,1,1,2.0,1.0,1.0,0.03508627999999999,0.034518,0.034518,0.044335,0.034832993333333326,0.034518,0.034518,0.044335,0.01700367333333333,0.016697,0.016697,0.024677389999999993,0.006027213333333333,0.00594,0.00594,0.009213
meta-llama/Meta-Llama-3-8B,2,2,1,2.0,2.0,1.0,0.028098573333333342,0.027822,0.027822,0.03692403,0.027970726666666675,0.027822,0.027822,0.03692403,0.014132193333333334,0.013977,0.013977,0.02020922,0.004655459999999999,0.004615,0.004615,0.00764901
meta-llama/Meta-Llama-3-8B,2,4,1,2.0,4.0,1.0,0.02993977666666667,0.029675,0.029675,0.03592617999999999,0.029773746666666673,0.029675,0.029675,0.035020100000000005,0.012284456666666669,0.012091,0.012091,0.018343169999999992,0.005884779999999999,0.005861,0.005861,0.0076430299999999994
meta-llama/Meta-Llama-3-8B,4,1,1,4.0,1.0,1.0,0.034518,0.034518,0.034518,0.034518,0.034518,0.034518,0.034518,0.034518,0.016696999999999997,0.016697,0.016697,0.016697,0.00594,0.00594,0.00594,0.00594
meta-llama/Meta-Llama-3-8B,4,2,1,4.0,2.0,1.0,0.027822000000000006,0.027822,0.027822,0.027822,0.027822000000000006,0.027822,0.027822,0.027822,0.013976999999999998,0.013977,0.013977,0.013977,0.004615,0.004615,0.004615,0.004615
meta-llama/Meta-Llama-3-8B,8,1,1,8.0,1.0,1.0,0.034518,0.034518,0.034518,0.034518,0.034518,0.034518,0.034518,0.034518,0.016696999999999997,0.016697,0.016697,0.016697,0.00594,0.00594,0.00594,0.00594
