Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,E2E_Avg,E2E_P50,E2E_P90,E2E_P99,Exec_Avg,Exec_P50,Exec_P90,Exec_P99,TTFT_Avg,TTFT_P50,TTFT_P90,TTFT_P99,ITL_Avg,ITL_P50,ITL_P90,ITL_P99
meta-llama/Meta-Llama-3-8B,1,1,1,1.0,1.0,1.0,3.258655043333333,3.540794,4.0939734,4.29180884,2.793003356666667,3.22926,3.253108,3.253364,1.4436317266666665,1.4960035,1.9844601000000002,2.13890286,0.6050077566666667,0.719057,0.722038,0.724841
meta-llama/Meta-Llama-3-8B,1,2,1,1.0,2.0,1.0,5.48609927,6.022681,7.2097612,7.699240619999999,4.400911440000002,5.419982,5.419986,7.226644,2.6639344833333336,2.852747,3.890371,4.14730499,0.9407217566666668,1.204441,1.204441,1.204442
meta-llama/Meta-Llama-3-8B,1,4,1,1.0,4.0,1.0,3.3512682933333333,3.762158,4.5341435,4.890006089999999,2.856706823333333,3.242866,3.763283,3.851296,1.5176269500000001,1.5992855,2.2587536000000004,2.64017718,0.6112137433333333,0.712903,0.892489,0.904929
meta-llama/Meta-Llama-3-8B,1,8,1,1.0,8.0,1.0,8.104101096666666,8.7771765,10.634155000000002,11.60139986,5.465084110000001,6.678583,6.678589,8.904777,4.632535676666666,4.906911,7.3669762,8.50694126,1.1571886133333336,1.48413,1.48413,1.484131
meta-llama/Meta-Llama-3-8B,2,1,1,2.0,1.0,1.0,0.5269312633333334,0.483565,0.7772793000000002,1.05423604,0.4569944666666667,0.431767,0.660956,0.943343,0.2417656066666667,0.2212405,0.3795375000000001,0.53729187,0.09505523000000002,0.08202,0.15002659999999998,0.202797
meta-llama/Meta-Llama-3-8B,2,2,1,2.0,2.0,1.0,0.3622016266666667,0.3019325,0.6283511000000002,0.9528515299999997,0.31710039333333334,0.248856,0.54423,0.86179,0.17728187666666667,0.1395815,0.32566530000000005,0.4616029399999995,0.06163999666666667,0.043638,0.12095,0.176494
meta-llama/Meta-Llama-3-8B,2,4,1,2.0,4.0,1.0,0.20020423333333337,0.171024,0.3290709000000001,0.52418614,0.18039117,0.171024,0.300845,0.50517019,0.10684361,0.0848645,0.1771360000000001,0.2838645199999999,0.03112010666666667,0.032333,0.051253600000000135,0.09927
meta-llama/Meta-Llama-3-8B,4,1,1,4.0,1.0,1.0,0.28618779333333333,0.27618,0.35149630000000004,0.43530658,0.26872970333333335,0.241534,0.3052894,0.36899944,0.14087432,0.129409,0.17384080000000002,0.24157229,0.048437669999999995,0.039516,0.060767,0.08200515
meta-llama/Meta-Llama-3-8B,4,2,1,4.0,2.0,1.0,0.18181876333333336,0.162517,0.226047,0.2990567799999997,0.17599568333333335,0.162517,0.2260065,0.2897626499999998,0.10192193999999999,0.095182,0.11920090000000001,0.16660418,0.026632346666666664,0.022445,0.043607,0.064784
meta-llama/Meta-Llama-3-8B,8,1,1,8.0,1.0,1.0,0.24160014666666668,0.239508,0.239508,0.29886893999999997,0.2401656366666667,0.239508,0.239508,0.24219044999999945,0.12241377333333332,0.120959,0.120959,0.16709285999999998,0.03972846333333333,0.039516,0.039516,0.03974222999999981
