Timestamp,Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Max_Batch_Tokens,Max_Num_Seqs,Concurrency,QPS,Max_Tokens,Temperature,Top_P,Total_Gen_Avg,Total_Gen_P50,Total_Gen_P90,Total_Gen_P99,First_Token_Avg,First_Token_P50,First_Token_P90,First_Token_P99,Inter_Token_Avg,Inter_Token_P50,Inter_Token_P90,Inter_Token_P99,Schedule_Delay_Avg,Schedule_Delay_P50,Schedule_Delay_P90,Schedule_Delay_P99,E2E_Latency_Avg,E2E_Latency_P50,E2E_Latency_P90,E2E_Latency_P99,Throughput,Total_Requests,Total_Input_Tokens,Total_Output_Tokens,Process_Time_Seconds,Total_Time_With_Init_Seconds
run_20250812_230815,Qwen/Qwen2.5-1.5B,1,1,1,512,512,8,29.0,3,0.7,0.9,93.01067749659221,85.64424514770508,137.64252662658694,204.4947838783264,50.548694133758545,42.81032085418701,87.1103048324585,145.44646263122556,21.22963031133016,19.547462463378906,29.555964469909668,31.65066957473755,0.8062966664632162,0.7234811782836914,1.1313199996948242,1.4598011970520017,93.81697416305542,86.35878562927246,138.67468833923343,205.17342329025266,89.1831131131625,300,90561,900,10.103,26.852
run_20250812_230852,Qwen/Qwen2.5-1.5B,2,1,1,512,512,8,29.0,3,0.7,0.9,71.35318120320638,69.50294971466064,89.12727832794191,127.72619724273673,37.14775244394938,35.42923927307129,50.15511512756348,77.89372205734233,17.101322412490845,14.675498008728027,23.782706260681152,36.062192916870075,0.813129742940267,0.7559061050415039,1.1029720306396484,1.398336887359619,72.16631094614665,70.1761245727539,90.45135974884033,128.30060482025138,70.29975423714984,300,90561,900,12.813,31.497
run_20250812_230934,Qwen/Qwen2.5-1.5B,4,1,1,512,512,8,29.0,3,0.7,0.9,74.83690897623698,69.67556476593018,95.72265148162842,138.96029710769628,40.607706705729164,37.76264190673828,58.719611167907715,90.0544214248657,17.11325128873189,14.11902904510498,23.97921085357666,39.07257556915282,0.8304103215535482,0.7760524749755859,1.1517286300659182,1.3917613029479978,75.66731929779053,70.54257392883301,96.65117263793945,140.1482987403867,76.66759203456469,300,90561,900,11.751,30.47
run_20250812_231014,Qwen/Qwen2.5-1.5B,8,1,1,512,512,8,29.0,3,0.7,0.9,80.08209864298503,76.96330547332764,104.49960231781006,152.46351003646845,44.19662316640218,42.63317584991455,61.140513420104995,95.76051950454709,17.941394249598186,14.750242233276367,24.5697021484375,39.7098135948181,0.8463923136393229,0.7846355438232422,1.1332035064697268,1.566922664642333,80.92849095662434,77.75044441223145,105.32345771789552,153.1893348693847,80.93329798723268,300,90561,900,11.131,33.845
run_20250812_231100,Qwen/Qwen2.5-1.5B,1,2,1,512,512,8,29.0,3,0.7,0.9,4078.363687197367,4243.458271026611,7148.515129089356,7972.769191265106,3887.0855164527893,4049.119234085083,6954.57947254181,7868.133735656738,95.63782175381978,97.06628322601318,97.76294231414795,100.11288166046141,0.8047699928283691,0.7472038269042969,1.110982894897461,1.4935874938964842,4079.1684571901956,4244.3965673446655,7149.575352668763,7973.428738117218,50.5158745687095,300,90561,900,17.827,37.965
run_20250812_231149,Qwen/Qwen2.5-1.5B,2,2,1,512,512,8,29.0,3,0.7,0.9,117.62212196985881,109.52401161193848,162.61389255523682,253.76560926437344,64.60751533508301,59.05807018280029,102.2256374359131,157.6332807540892,26.505948305130005,19.83463764190674,44.78428363800049,65.65415859222412,0.8108011881510416,0.7482767105102539,1.1075973510742188,1.3216710090637187,118.43292315800984,110.33141613006592,163.4732484817505,254.56773519515957,72.74616148119652,300,90561,900,12.383,33.83
run_20250812_231234,Qwen/Qwen2.5-1.5B,4,2,1,512,512,8,29.0,3,0.7,0.9,133.6116337776184,128.49652767181396,185.1393461227417,246.5532207489012,74.03764645258586,70.41168212890625,110.78426837921143,167.84841060638422,29.785666068394978,25.18606185913086,50.23443698883057,78.65551948547362,0.8317399024963379,0.769495964050293,1.1351823806762695,1.4586210250854488,134.44337368011475,129.2729377746582,185.80760955810547,247.97416687011702,89.01782368503812,300,90561,900,10.123,33.808
run_20250812_231319,Qwen/Qwen2.5-1.5B,1,4,1,512,512,8,29.0,3,0.7,0.9,6751.4783843358355,6768.397331237793,11816.756248474123,12941.457204818726,6484.190689722697,6493.069171905518,11543.173837661745,12764.535586833954,133.64229957262674,137.1849775314331,138.30363750457764,139.86728191375732,0.8280730247497559,0.7665157318115234,1.1138916015625,1.4701104164123533,6752.306457360585,6769.232869148254,11817.459225654604,12942.11139202118,36.16602516124023,300,90561,900,24.897,46.387
run_20250812_231417,Qwen/Qwen2.5-1.5B,2,4,1,512,512,8,29.0,3,0.7,0.9,1887.3184394836426,2013.9790773391724,2753.0157327651978,2939.973654747009,1626.186769803365,1741.3759231567383,2494.5667505264287,2797.6413273811336,130.56458989779154,136.6260051727295,138.2690668106079,139.41441535949707,0.8002940813700358,0.7412433624267578,1.099705696105957,1.405432224273681,1888.1187335650127,2014.6859884262085,2753.8092136383057,2940.8954143524165,68.62976735092026,300,90561,900,13.125,37.213
run_20250813_184040,meta-llama/Meta-Llama-3-8B,1,1,1,512,512,8,29.0,3,0.7,0.9,7868.555512428284,7884.506940841675,13920.828652381899,15312.953248023987,7601.333115100861,7615.5465841293335,13651.505684852602,15105.098853111267,133.60963463783264,134.45115089416504,135.1299524307251,135.78445434570312,0.708314577738444,0.653386116027832,0.9685039520263673,1.293230056762695,7869.263827006022,7885.186314582825,13921.456360816957,15313.646862506866,35.13423530674233,300,94752,900,25.629,48.075
