Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Max_Batch_Tokens,Max_Num_Seqs,Concurrency,QPS,Max_Tokens,Temperature,Top_P,Total_Gen_Avg,Total_Gen_P50,Total_Gen_P90,Total_Gen_P99,First_Token_Avg,First_Token_P50,First_Token_P90,First_Token_P99,Inter_Token_Avg,Inter_Token_P50,Inter_Token_P90,Inter_Token_P99,Schedule_Delay_Avg,Schedule_Delay_P50,Schedule_Delay_P90,Schedule_Delay_P99,E2E_Latency_Avg,E2E_Latency_P50,E2E_Latency_P90,E2E_Latency_P99,Throughput,Total_Requests,Total_Input_Tokens,Total_Output_Tokens
Qwen/Qwen2.5-1.5B,1,1,1,1.0,1.0,1.0,512.0,512.0,8.0,4.0,3.0,0.7,0.9,45.19079605738322,44.51954364776611,51.5164852142334,69.51977729797356,19.4372296333313,19.084572792053223,25.850892066955574,42.919409275054925,12.874817053476969,12.67540454864502,13.087749481201172,17.962105274200436,0.9797787666320801,0.977635383605957,1.3441085815429688,1.6862320899963374,46.1705748240153,45.53532600402832,52.24592685699464,70.23696184158318,12.256637945153916,300.0,90561.0,900.0
Qwen/Qwen2.5-1.5B,1,2,1,1.0,2.0,1.0,512.0,512.0,8.0,4.0,3.0,0.7,0.9,54.53759431838989,52.434563636779785,61.00268363952637,90.40489673614464,23.67258310317993,21.946430206298828,28.392863273620605,51.291563510894704,15.430492957433065,15.093088150024414,15.527558326721191,21.989736557006836,0.90926726659139,0.8958578109741211,1.2133359909057617,1.4989972114562986,55.446861584981285,53.38644981384277,61.92827224731446,90.99932909011802,10.712951547659138,300.0,90561.0,900.0
Qwen/Qwen2.5-1.5B,1,4,1,1.0,4.0,1.0,512.0,512.0,8.0,4.0,3.0,0.7,0.9,53.27834288279215,50.65202713012695,57.98013210296631,124.34480667114252,23.340765635172527,21.26920223236084,27.602362632751476,48.62435340881305,14.96697187423706,14.681339263916016,15.106987953186035,20.107600688934326,0.9035031000773112,0.9039640426635742,1.2221097946166994,1.4285707473754878,54.18184598286947,51.587581634521484,59.01703834533692,125.52383661270136,11.249568940001652,300.0,90561.0,900.0
Qwen/Qwen2.5-1.5B,2,1,1,2.0,1.0,1.0,512.0,512.0,8.0,4.0,3.0,0.7,0.9,48.4846305847168,44.774651527404785,55.57303428649902,71.2794876098632,22.043743133544922,19.72675323486328,29.91659641265869,44.213156700134256,13.218592802683512,12.367486953735352,12.748432159423828,18.296122550964352,0.9657112757364908,0.9645223617553711,1.3430595397949219,1.6336965560913081,49.450341860453285,45.67742347717285,56.557583808898926,72.70427703857412,11.540295233672767,300.0,90561.0,900.0
Qwen/Qwen2.5-1.5B,2,2,1,2.0,2.0,1.0,512.0,512.0,8.0,4.0,3.0,0.7,0.9,57.99294948577881,56.00416660308838,66.25306606292725,80.57656526565545,26.481205622355144,24.585962295532227,34.74469184875488,46.94903373718261,15.754405657450357,15.603065490722656,15.874648094177246,23.313896656036366,0.7743477821350098,0.7339715957641602,0.9869575500488283,1.2841796874999998,58.76729726791382,56.73050880432129,66.94223880767822,81.6349816322326,11.825369848663062,300.0,90561.0,900.0
Qwen/Qwen2.5-1.5B,2,4,1,2.0,4.0,1.0,512.0,512.0,8.0,4.0,3.0,0.7,0.9,57.500929832458496,55.19580841064453,66.13178253173828,84.30558443069458,26.27644141515096,23.98502826690674,34.656453132629395,51.53994798660277,15.610509713490805,15.436410903930664,15.672039985656738,21.89863920211792,0.7918302218119303,0.7482767105102539,1.040482521057129,1.2970209121704102,58.292760054270424,55.854201316833496,66.8703556060791,85.19824981689453,12.179626320136709,300.0,90561.0,900.0
Qwen/Qwen2.5-1.5B,4,1,1,4.0,1.0,1.0,512.0,512.0,8.0,4.0,3.0,0.7,0.9,49.0894071261088,46.73457145690918,57.862520217895515,77.5628376007079,22.54716396331787,20.522475242614746,29.685592651367198,51.27007484436035,13.269095023473104,12.99130916595459,13.331747055053711,22.491950988769513,0.9553893407185873,0.9644031524658203,1.2889385223388674,1.628410816192627,50.04479646682739,47.721028327941895,58.86094570159913,79.25644636154165,12.251127805019651,300.0,90561.0,900.0
Qwen/Qwen2.5-1.5B,4,2,1,4.0,2.0,1.0,512.0,512.0,8.0,4.0,3.0,0.7,0.9,60.515740712483726,56.61582946777344,70.34337520599365,178.7672781944275,28.288809458414715,24.99234676361084,38.54010105133057,120.28262376785275,16.111377080281574,15.69664478302002,16.3254976272583,27.2571063041687,0.8058985074361166,0.7680654525756836,1.0389804840087893,1.3814210891723633,61.32163921991984,57.32071399688721,71.3782787322998,179.61013555526733,11.942283355357828,300.0,90561.0,900.0
Qwen/Qwen2.5-1.5B,8,1,1,8.0,1.0,1.0,512.0,512.0,8.0,4.0,3.0,0.7,0.9,50.54114500681559,48.06935787200928,61.210227012634284,87.48453140258786,23.01934560139974,20.993471145629883,32.083725929260254,52.539577484130824,13.759111960728964,13.484954833984375,13.842916488647461,20.578060150146456,0.8998839060465494,0.8431673049926758,1.234126091003418,1.577498912811278,51.441028912862144,48.89392852783203,61.93110942840577,88.16652774810788,11.338867585944692,300.0,90561.0,900.0
meta-llama/Meta-Llama-3-8B,1,1,1,1.0,1.0,1.0,512.0,512.0,8.0,4.0,3.0,0.7,0.9,46.58289829889933,45.714735984802246,52.228903770446784,66.10561847686766,18.823545773824055,18.105626106262207,23.925185203552253,37.33103036880492,13.877686659495035,13.741374015808105,14.004993438720703,16.847338676452637,0.9317270914713541,0.9593963623046875,1.2622594833374023,1.5654754638671875,47.51462539037069,46.63228988647461,53.01873683929444,67.02913761138915,12.163465171724349,300.0,94752.0,900.0
meta-llama/Meta-Llama-3-8B,1,2,1,1.0,2.0,1.0,512.0,512.0,8.0,4.0,3.0,0.7,0.9,60.11099418004354,57.98184871673584,68.23234558105469,80.75259208679196,23.963481585184734,22.226333618164062,30.998730659484877,45.53105831146238,18.07230552037557,17.859816551208496,18.196678161621094,21.433653831481916,0.6646498044331869,0.634312629699707,0.827932357788086,1.0598731040954588,60.77564398447672,58.72702598571777,68.77310276031494,81.88963651657102,12.451465877335108,300.0,94752.0,900.0
meta-llama/Meta-Llama-3-8B,1,4,1,1.0,4.0,1.0,512.0,512.0,8.0,4.0,3.0,0.7,0.9,58.64466428756714,56.742072105407715,64.83354568481447,104.97460842132554,24.008161226908367,22.59516716003418,29.920935630798347,56.305117607116664,17.316381533940632,17.01045036315918,17.35236644744873,24.528481960296624,0.7831724484761556,0.7784366607666016,1.047348976135254,1.302742958068847,59.4278367360433,57.562828063964844,65.99507331848145,105.88573694229112,12.012320565840485,300.0,94752.0,900.0
meta-llama/Meta-Llama-3-8B,1,8,1,1.0,8.0,1.0,512.0,512.0,8.0,4.0,3.0,0.7,0.9,58.394006888071694,57.14988708496094,64.62395191192627,81.57743930816649,23.49422613779704,22.751927375793457,30.001115798950195,45.74387550354001,17.448049386342365,17.163991928100586,17.490839958190918,21.964797973632812,0.7662789026896158,0.7262229919433594,1.0527610778808594,1.3096189498901363,59.160285790761314,57.987093925476074,65.482497215271,82.39916801452635,12.192884181602585,300.0,94752.0,900.0
meta-llama/Meta-Llama-3-8B,2,1,1,2.0,1.0,1.0,512.0,512.0,8.0,4.0,3.0,0.7,0.9,52.34572728474935,50.76777935028076,60.494399070739746,73.77404689788816,22.856772740681965,21.315813064575195,30.713939666748047,43.08210849761962,14.742509921391806,14.577984809875488,14.853835105895996,19.406793117523172,0.8873168627421061,0.8795261383056641,1.1914491653442387,1.6355514526367188,53.233044147491455,51.72765254974365,61.33813858032227,74.8607778549194,12.02970601375972,300.0,94752.0,900.0
meta-llama/Meta-Llama-3-8B,2,2,1,2.0,2.0,1.0,512.0,512.0,8.0,4.0,3.0,0.7,0.9,62.71739800771078,60.75942516326904,71.06475830078125,89.79001283645624,27.524055639902752,25.735139846801758,35.57932376861572,52.01154470443723,17.594960530598957,17.38440990447998,17.853236198425293,24.19978141784668,0.7751941680908203,0.7205009460449219,1.0826110839843752,1.4005351066589355,63.4925921758016,61.547279357910156,71.73197269439699,90.8798480033874,10.632703530426806,300.0,94752.0,900.0
meta-llama/Meta-Llama-3-8B,2,4,1,2.0,4.0,1.0,512.0,512.0,8.0,4.0,3.0,0.7,0.9,63.969833850860596,61.70451641082764,74.97243881225587,86.62658452987662,28.86332352956136,26.416659355163574,39.0455961227417,50.0806212425231,17.551843722661335,17.21060276031494,17.602968215942383,25.467696189880368,0.7163691520690918,0.6589889526367188,0.9898424148559571,1.199312210083007,64.68620300292969,62.314391136169434,75.7054328918457,87.18207836151115,12.17808587425155,300.0,94752.0,900.0
meta-llama/Meta-Llama-3-8B,4,1,1,4.0,1.0,1.0,512.0,512.0,8.0,4.0,3.0,0.7,0.9,52.54767656326294,50.66812038421631,63.46619129180909,74.85769033432005,23.199649651845295,21.323204040527344,32.31489658355715,45.89887619018553,14.672159353892008,14.458894729614258,14.980053901672363,22.15254545211792,0.8183455467224121,0.7921457290649414,1.1437177658081057,1.3278222084045408,53.36602210998535,51.46169662475586,64.35253620147705,76.18512630462645,11.47689162247673,300.0,94752.0,900.0
meta-llama/Meta-Llama-3-8B,4,2,1,4.0,2.0,1.0,512.0,512.0,8.0,4.0,3.0,0.7,0.9,63.215084075927734,60.09805202484131,72.74641990661621,107.67876148223829,28.154354095458984,25.341153144836426,36.90373897552492,73.31422328948928,17.528881231943767,17.21203327178955,17.9532527923584,23.80784034729003,0.7326118151346842,0.6788969039916992,1.0316610336303713,1.3123774528503418,63.947695891062416,60.81509590148926,73.35290908813477,108.23718786239576,11.62299408115687,300.0,94752.0,900.0
meta-llama/Meta-Llama-3-8B,8,1,1,8.0,1.0,1.0,512.0,512.0,8.0,4.0,3.0,0.7,0.9,54.060986836751304,52.245378494262695,62.48257160186769,73.67504596710204,23.116477330525715,21.155476570129395,30.644655227661136,42.029640674591036,15.470496416091919,15.255331993103027,15.749335289001465,21.953477859497042,0.7864610354105631,0.7575750350952148,1.089024543762207,1.3394212722778314,54.847447872161865,53.02929878234863,63.54434490203859,74.38637495040892,10.30544754769606,300.0,94752.0,900.0
