Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Max_Batch_Tokens,Max_Num_Seqs,Concurrency,QPS,Max_Tokens,Temperature,Top_P,Total_Gen_Avg,Total_Gen_P50,Total_Gen_P90,Total_Gen_P99,First_Token_Avg,First_Token_P50,First_Token_P90,First_Token_P99,Inter_Token_Avg,Inter_Token_P50,Inter_Token_P90,Inter_Token_P99,Schedule_Delay_Avg,Schedule_Delay_P50,Schedule_Delay_P90,Schedule_Delay_P99,E2E_Latency_Avg,E2E_Latency_P50,E2E_Latency_P90,E2E_Latency_P99,Throughput,Total_Requests,Total_Input_Tokens,Total_Output_Tokens
Qwen/Qwen2.5-1.5B,1,1,1,1.0,1.0,1.0,512.0,512.0,8.0,29.0,3.0,0.7,0.9,99.55780466397603,93.35625171661377,145.03355026245117,172.71761775016782,51.968800624211624,44.67666149139404,89.90340232849121,117.63244271278379,23.792866269747417,23.800909519195557,33.043646812438965,35.14251112937927,0.7851135730743408,0.7631778717041016,1.086592674255371,1.4097905158996569,100.34291823705038,94.23136711120605,145.83629369735718,173.34786415100095,88.3055946327203,300.0,90561.0,900.0
Qwen/Qwen2.5-1.5B,1,2,1,1.0,2.0,1.0,512.0,512.0,8.0,29.0,3.0,0.7,0.9,174.05860900878906,142.3259973526001,358.03358554840094,487.5420439243316,112.13777780532837,77.12757587432861,283.51042270660406,409.18468952178955,30.95912794272105,34.1457724571228,39.57644701004028,41.00257158279419,0.6960841019948324,0.6514787673950195,0.8895754814147953,1.205507516860961,174.7546931107839,143.1613564491272,358.6945295333863,488.27317595481867,87.37405157933466,300.0,90561.0,900.0
Qwen/Qwen2.5-1.5B,1,4,1,1.0,4.0,1.0,512.0,512.0,8.0,29.0,3.0,0.7,0.9,190.4754439989726,122.39080667495728,470.52537202835083,574.2841255664825,133.14069827397662,65.55414199829102,400.23324489593506,501.1903214454651,28.665997783342995,30.831575393676758,36.80797815322876,38.16384673118591,0.6934909025828044,0.6508231163024902,0.9144306182861328,1.1546432971954341,191.1689349015554,123.14963340759277,471.1924433708191,574.9566304683685,87.90769734666637,300.0,90561.0,900.0
Qwen/Qwen2.5-1.5B,2,1,1,2.0,1.0,1.0,512.0,512.0,8.0,29.0,3.0,0.7,0.9,76.67657613754272,74.58698749542236,93.21717023849487,127.70664334297173,38.724082708358765,37.393391132354736,51.60355567932129,70.72513937950129,18.974653681119285,16.52240753173828,26.454186439514164,34.10771012306213,0.8148773511250813,0.7793903350830078,1.1336326599121094,1.4217126369476312,77.49145348866782,75.33270120620728,93.96437406539917,129.1023194789886,75.8835705173795,300.0,90561.0,900.0
Qwen/Qwen2.5-1.5B,2,2,1,2.0,2.0,1.0,512.0,512.0,8.0,29.0,3.0,0.7,0.9,104.8763910929362,93.43022108078003,136.8555188179016,322.98344969749445,56.59495393435161,47.138512134552,80.36136627197266,228.47911834716786,24.13924475510915,20.700275897979736,36.30404472351074,66.73726439476012,0.8278250694274902,0.7822513580322266,1.0944485664367676,1.4656388759613033,105.70421616236368,94.2775011062622,137.83005475997925,323.8259828090667,75.86527822253092,300.0,90561.0,900.0
Qwen/Qwen2.5-1.5B,2,4,1,2.0,4.0,1.0,512.0,512.0,8.0,29.0,3.0,0.7,0.9,91.63373986879984,85.06804704666138,121.64944410324097,209.3975090980528,48.3240532875061,42.87773370742798,69.80595588684083,132.1058785915373,21.653432250022888,17.32689142227173,32.691824436187744,42.87118792533874,0.7113921642303467,0.6663203239440918,0.9346604347229004,1.2808597087860099,92.34513203303018,85.72250604629517,122.2902774810791,210.36613106727583,80.3510886704195,300.0,90561.0,900.0
Qwen/Qwen2.5-1.5B,4,1,1,4.0,1.0,1.0,512.0,512.0,8.0,29.0,3.0,0.7,0.9,140.82651535669962,75.18595457077026,382.34736919403093,786.4348578453063,101.15568081537883,38.946568965911865,330.6985020637514,662.9016709327695,19.833776553471882,16.097664833068848,27.35542058944702,38.27370524406433,0.8539795875549316,0.8515119552612305,1.1623263359069829,1.5053427219390867,141.68049494425455,76.08485221862793,383.3720326423647,787.6717400550841,78.07827271866086,300.0,90561.0,900.0
Qwen/Qwen2.5-1.5B,4,2,1,4.0,2.0,1.0,512.0,512.0,8.0,29.0,3.0,0.7,0.9,94.69555735588074,89.77621793746948,116.21115207672119,246.52332186698908,50.91328024864197,47.674596309661865,67.27397441864015,139.49546456336958,21.889720360438027,17.79383420944214,31.077289581298835,51.93567633628845,0.8438360691070557,0.7916688919067383,1.0942816734313965,1.449123620986938,95.5393934249878,90.54893255233765,117.1202301979065,248.27740550041196,84.397992560138,300.0,90561.0,900.0
Qwen/Qwen2.5-1.5B,8,1,1,8.0,1.0,1.0,512.0,512.0,8.0,29.0,3.0,0.7,0.9,122.68550078074136,76.89005136489868,281.763803958893,601.8771195411682,74.32108203570047,40.58659076690674,199.6462106704713,473.9345216751098,24.180590907732647,16.265869140625,25.96266269683838,295.9500980377197,0.7757008075714111,0.7330179214477539,1.0587215423583984,1.4000868797302237,123.46120158831278,77.61353254318237,282.4668407440188,602.4991178512573,80.35592442111815,300.0,90561.0,900.0
meta-llama/Meta-Llama-3-8B,1,1,1,1.0,1.0,1.0,512.0,512.0,8.0,29.0,3.0,0.7,0.9,10147.259753545126,9952.396512031555,18401.602530479435,20064.391374588013,9815.423797766367,9614.552974700928,18057.927918434147,19794.95727300644,165.91622829437256,167.92309284210205,170.65699100494385,172.90167570114136,0.7283576329549154,0.6984472274780273,1.020336151123047,1.255333423614502,10147.98811117808,9953.018188476562,18402.16069221497,20064.84909772873,28.517940110204588,300.0,94752.0,900.0
meta-llama/Meta-Llama-3-8B,1,2,1,1.0,2.0,1.0,512.0,512.0,8.0,29.0,3.0,0.7,0.9,7318.616925875346,7365.482926368713,12985.280466079714,14331.055178642273,7061.765813827515,7107.221841812134,12725.979828834536,14170.404880046844,128.4237551689148,129.21857833862305,129.941725730896,130.5680775642395,0.7756201426188151,0.7848739624023438,1.058340072631836,1.3509368896484368,7319.392546017964,7366.307854652405,12986.176562309267,14332.174446582794,36.650028270271335,300.0,94752.0,900.0
meta-llama/Meta-Llama-3-8B,1,4,1,1.0,4.0,1.0,512.0,512.0,8.0,29.0,3.0,0.7,0.9,5518.176749547322,5688.851833343506,9324.984359741211,10060.339479446411,5300.491989453633,5469.597339630127,9105.431175231934,9910.415468215942,108.84064793586731,109.62879657745361,110.07571220397949,111.3804578781128,0.6909028689066569,0.6430149078369141,0.9615182876586914,1.2765336036682127,5518.867652416229,5689.460277557373,9325.637078285217,10060.842680931091,43.19641097815863,300.0,94752.0,900.0
meta-llama/Meta-Llama-3-8B,1,8,1,1.0,8.0,1.0,512.0,512.0,8.0,29.0,3.0,0.7,0.9,10719.07076994578,10826.510906219482,18338.197517395023,20358.44251394272,10390.673396587372,10494.84133720398,18007.312583923343,20139.70436811447,164.19702251752219,165.4345989227295,166.33789539337158,167.0856261253357,0.7534670829772949,0.7398128509521484,1.059126853942871,1.2651777267456048,10719.824237028757,10827.184557914734,18338.88945579529,20358.9381814003,28.84351026632958,300.0,94752.0,900.0
meta-llama/Meta-Llama-3-8B,2,1,1,2.0,1.0,1.0,512.0,512.0,8.0,29.0,3.0,0.7,0.9,3617.540383338928,3509.7016096115112,6055.084943771362,6523.074362277985,3284.698386192322,3171.2199449539185,5712.138414382935,6247.247724533081,166.41918698946634,168.8913106918335,172.29905128479004,179.24547672271729,0.8142336209615072,0.8242130279541016,1.1299610137939458,1.513533592224121,3618.35461695989,3510.565996170044,6056.098365783691,6523.631489276886,52.66175887784408,300.0,94752.0,900.0
meta-llama/Meta-Llama-3-8B,2,2,1,2.0,2.0,1.0,512.0,512.0,8.0,29.0,3.0,0.7,0.9,1611.379731496175,1632.8015327453613,2338.677692413331,2585.1112937927246,1351.2618517875671,1369.0342903137207,2073.649454116822,2417.583680152893,130.05739092826843,132.24971294403076,133.41569900512695,134.5579123497009,0.7507936159769694,0.7560253143310547,1.0401010513305664,1.3030171394348142,1612.130525112152,1633.5699558258057,2339.164686203004,2585.850853919983,66.40442445821552,300.0,94752.0,900.0
meta-llama/Meta-Llama-3-8B,2,4,1,2.0,4.0,1.0,512.0,512.0,8.0,29.0,3.0,0.7,0.9,811.8409093221029,774.02663230896,1158.69882106781,1450.7075643539426,590.160965124766,548.2662916183472,965.562224388123,1225.55282831192,110.838729540507,112.53106594085693,113.62674236297607,146.94377660751343,0.6248672803243002,0.5892515182495117,0.8067607879638673,1.0847830772399896,812.4657766024271,774.5546102523804,1159.2358589172363,1451.2961244583128,78.80444356682204,300.0,94752.0,900.0
meta-llama/Meta-Llama-3-8B,4,1,1,4.0,1.0,1.0,512.0,512.0,8.0,29.0,3.0,0.7,0.9,916.4921887715658,860.1316213607788,1300.6545305252075,1698.93809556961,619.9426817893982,564.0743970870972,1047.1625328063965,1469.842543601989,148.27337543169656,160.04550457000732,172.23734855651855,219.0385913848877,0.6447895367940267,0.6035566329956055,0.872921943664551,1.083545684814453,917.1369783083597,860.6914281845093,1301.2627124786377,1699.606993198394,75.24860438269282,300.0,94752.0,900.0
meta-llama/Meta-Llama-3-8B,4,2,1,4.0,2.0,1.0,512.0,512.0,8.0,29.0,3.0,0.7,0.9,610.6316248575846,600.112795829773,763.1404399871826,918.9219188690183,385.8100112279256,366.07420444488525,549.8397827148438,731.0894536972045,112.4095602830251,123.58701229095459,133.90271663665771,208.40330600738525,0.6116429964701334,0.5773305892944336,0.7981538772583008,1.0769724845886226,611.2432678540548,600.7286310195923,763.7483596801758,919.5189118385313,81.2624096706159,300.0,94752.0,900.0
meta-llama/Meta-Llama-3-8B,8,1,1,8.0,1.0,1.0,512.0,512.0,8.0,29.0,3.0,0.7,0.9,568.5070927937826,579.6184539794922,685.465931892395,767.1891474723814,322.471346060435,321.915864944458,438.1891965866089,546.4572858810425,123.01645398139954,127.42841243743896,160.3179693222046,207.62231588363647,0.7007169723510742,0.6448030471801758,0.9765863418579104,1.2824440002441404,569.2078097661337,580.2764892578125,686.2333297729492,768.1441664695737,77.46870803678813,300.0,94752.0,900.0
