,time_stats.send_recv.min,time_stats.send_recv.max,time_stats.send_recv.mean,time_stats.send_recv.median,time_stats.send_recv.std,rank,num_workers,size,collective,devices_per_node,max_devices_per_node
0,0.005,0.005,0.005,0.005,0.0,0,2,2048,send_recv,2,8
1,0.006,0.006,0.006000000000000001,0.006,8.673617379884035e-19,0,2,10240,send_recv,2,8
2,0.01,0.011,0.010333333333333333,0.01,0.00047140452079103126,0,2,18432,send_recv,2,8
3,0.011,0.011,0.011000000000000001,0.011,1.734723475976807e-18,0,2,26624,send_recv,2,8
4,0.012,0.012,0.012000000000000002,0.012,1.734723475976807e-18,0,2,34816,send_recv,2,8
5,0.013000000000000001,0.013000000000000001,0.013000000000000003,0.013000000000000001,1.734723475976807e-18,0,2,43008,send_recv,2,8
6,0.015,0.016,0.015666666666666666,0.016,0.00047140452079103207,0,2,51200,send_recv,2,8
7,0.015,0.016,0.015666666666666666,0.016,0.00047140452079103207,0,2,59392,send_recv,2,8
8,0.017,0.018000000000000002,0.017666666666666667,0.018000000000000002,0.00047140452079103207,0,2,67584,send_recv,2,8
9,0.019,0.02,0.019666666666666666,0.02,0.00047140452079103207,0,2,75776,send_recv,2,8
10,0.02,0.021,0.02033333333333333,0.02,0.00047140452079103207,0,2,83968,send_recv,2,8
11,0.022,0.023,0.022333333333333334,0.022,0.00047140452079103207,0,2,92160,send_recv,2,8
12,0.022,0.024,0.023000000000000003,0.023,0.0008164965809277268,0,2,100352,send_recv,2,8
13,0.024,0.025,0.02466666666666667,0.025,0.00047140452079103207,0,2,108544,send_recv,2,8
14,0.027,0.029,0.028333333333333335,0.029,0.0009428090415820641,0,2,116736,send_recv,2,8
15,0.027,0.03,0.028333333333333332,0.028,0.0012472191289246467,0,2,124928,send_recv,2,8
16,0.03,0.033,0.03166666666666667,0.032,0.0012472191289246482,0,2,133120,send_recv,2,8
17,0.031,0.032,0.03166666666666667,0.032,0.00047140452079103207,0,2,141312,send_recv,2,8
18,0.031,0.037,0.034,0.034,0.0024494897427831774,0,2,149504,send_recv,2,8
